"filename", "language", "CSS", "JSON", "TypeScript JSX", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Home\mycoffee_front\coffee\package-lock.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 65
"c:\Users\Home\mycoffee_front\coffee\package.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Home\mycoffee_front\coffee\src\App.css", "CSS", 175, 0, 0, 0, 0, 0, 25, 200
"c:\Users\Home\mycoffee_front\coffee\src\App.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\Home\mycoffee_front\coffee\src\components\AdminLogin.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Home\mycoffee_front\coffee\src\components\HamburgerMenu.tsx", "TypeScript JSX", 0, 0, 170, 0, 0, 7, 14, 191
"c:\Users\Home\mycoffee_front\coffee\src\components\KartKorz.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -1, -7, -8
"c:\Users\Home\mycoffee_front\coffee\src\components\PopularProducts.tsx", "TypeScript JSX", 0, 0, 175, 0, 0, 0, 26, 201
"c:\Users\Home\mycoffee_front\coffee\src\components\Vhod.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Home\mycoffee_front\coffee\src\components\errors\CustomErrorComponent.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Home\mycoffee_front\coffee\src\components\errors\ErrorBoundary.jsx", "JavaScript JSX", 0, 0, 0, -3, 0, 0, 0, -3
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Faq.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 2, 1
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Home.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\Reg.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Home\mycoffee_front\coffee\src\components\navigation\ResetURL.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Home\mycoffee_front\coffee\src\images\uparrowcircularbutton_79856.svg", "XML", 0, 0, 0, 0, 44, 1, 1, 46
"c:\Users\Home\mycoffee_front\coffee\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Home\mycoffee_front\coffee\src\styles\AdminProfile.css", "CSS", 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Home\mycoffee_front\coffee\src\styles\Chat.css", "CSS", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Home\mycoffee_front\coffee\src\styles\FAQ.css", "CSS", 11, 0, 0, 0, 0, 0, 11, 22
"c:\Users\Home\mycoffee_front\coffee\src\styles\Futer.css", "CSS", 1, 0, 0, 0, 0, 0, 5, 6
"c:\Users\Home\mycoffee_front\coffee\src\styles\Header.css", "CSS", 82, 0, 0, 0, 0, 0, 2, 84
"c:\Users\Home\mycoffee_front\coffee\src\styles\Home.css", "CSS", 58, 0, 0, 0, 0, -1, 21, 78
"c:\Users\Home\mycoffee_front\coffee\src\styles\ItemAdmin.css", "CSS", 64, 0, 0, 0, 0, 0, 9, 73
"c:\Users\Home\mycoffee_front\coffee\src\styles\KastomCheckBox.css", "CSS", 33, 0, 0, 0, 0, 11, 3, 47
"c:\Users\Home\mycoffee_front\coffee\src\styles\Login.css", "CSS", 40, 0, 0, 0, 0, 0, 18, 58
"c:\Users\Home\mycoffee_front\coffee\src\styles\Pagination.css", "CSS", 34, 0, 0, 0, 0, 2, 1, 37
"c:\Users\Home\mycoffee_front\coffee\src\styles\Reg.css", "CSS", 100, 0, 0, 0, 0, 0, 18, 118
"c:\Users\Home\mycoffee_front\coffee\src\styles\Reset.css", "CSS", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Home\mycoffee_front\coffee\src\styles\Shipment.css", "CSS", 36, 0, 0, 0, 0, 0, 13, 49
"c:\Users\Home\mycoffee_front\coffee\src\styles\basket.css", "CSS", 33, 0, 0, 0, 0, 0, 11, 44
"c:\Users\Home\mycoffee_front\coffee\src\styles\kartKorz.css", "CSS", 19, 0, 0, 0, 0, 0, 24, 43
"c:\Users\Home\mycoffee_front\coffee\src\styles\katalog.css", "CSS", 120, 0, 0, 0, 0, 1, 4, 125
"c:\Users\Home\mycoffee_front\coffee\src\styles\popularProducts.css", "CSS", 14, 0, 0, 0, 0, 0, 3, 17
"Total", "-", 864, 68, 389, -3, 44, 20, 220, 1602